Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-28,144.11,144.56,142.39,142.51,5133363.0,0.0,1.0,125.52724796902011,125.91922119493127,124.02903919442628,124.13356538800258,5133363.0
2017-08-25,143.3,144.19,143.25,143.74,2872893.0,0.0,1.0,124.82169616238,125.59693209807097,124.77814358172319,125.2049588721598,2872893.0
2017-08-24,142.5,143.68,142.25,142.94,3591673.0,0.0,1.0,124.12485487187124,125.15269577537165,123.90709196858725,124.50811758165105,3591673.0
2017-08-23,140.7,143.05,140.68,142.14,4048317.0,0.0,1.0,122.55696196822653,124.60393325909601,122.53954093596383,123.81127629114228,4048317.0
2017-08-22,140.64,141.15,140.38,141.01,2544346.0,0.0,1.0,122.50469887143838,122.94893519413772,122.27822545202304,122.82698796829868,2544346.0
2017-08-21,139.59,140.42,139.13,140.33,3190691.0,0.0,1.0,121.59009467764565,122.31306751654847,121.18941093560312,122.23467287136626,3190691.0
2017-08-18,140.87,141.15,139.58,139.7,4152714.0,0.0,1.0,122.70504074245966,122.94893519413772,121.58138416151431,121.6859103550906,4152714.0
2017-08-17,142.52,142.89,140.7,140.7,4422087.0,0.0,1.0,124.14227590413397,124.46456500099424,122.55696196822653,122.55696196822653,4422087.0
2017-08-16,141.79,142.91,141.61,142.5,3287450.0,0.0,1.0,123.5064082265447,124.48198603325696,123.34961893618026,124.12485487187124,3287450.0
2017-08-15,142.55,143.34,140.58,142.07,4681545.0,0.0,1.0,124.16840745252804,124.85653822690543,122.45243577465024,123.75030267822278,4681545.0
2017-08-14,142.0,142.76,141.94,142.32,2248607.0,0.0,1.0,123.68932906530327,124.35132829128656,123.6370659685151,123.96806558150676,2248607.0
2017-08-11,142.45,142.59,141.52,141.84,3004360.0,0.0,1.0,124.08130229121443,124.20324951705346,123.27122429099802,123.54996080720151,3004360.0
2017-08-10,141.64,142.42,141.23,141.84,4525059.0,0.0,1.0,123.37575048457431,124.05517074282035,123.01861932318859,123.54996080720151,4525059.0
2017-08-09,141.75,142.03,141.19,141.77,2925770.0,0.0,1.0,123.47156616201929,123.71546061369735,122.98377725866315,123.488987194282,2925770.0
2017-08-08,142.0,142.76,142.0,142.11,3298718.0,1.5,1.0,123.68932906530327,124.35132829128656,123.68932906530327,123.78514474274823,3298718.0
2017-08-07,145.0,145.09,142.75,143.47,4618284.0,0.0,1.0,124.98326013298859,125.06083594962287,123.04386471713188,123.66447125020602,4618284.0
2017-08-04,145.0,145.39,144.4,145.16,2549400.0,0.0,1.0,124.98326013298859,125.31942200507042,124.46608802209347,125.12117269589396,2549400.0
2017-08-03,144.43,145.34,144.43,144.94,3035213.0,0.0,1.0,124.49194662763823,125.2763243291625,124.49194662763823,124.93154292189908,3035213.0
2017-08-02,145.12,145.29,144.22,144.45,3540949.0,0.0,1.0,125.08669455516763,125.23322665325456,124.31093638882493,124.50918569800139,3540949.0
2017-08-01,145.0,145.67,144.72,145.3,3219477.0,0.0,1.0,124.98326013298859,125.56076899015481,124.7419131479042,125.24184618843617,3219477.0
2017-07-31,144.38,144.93,144.17,144.67,4355718.0,0.0,1.0,124.4488489517303,124.9229233867175,124.267838712917,124.69881547199627,4355718.0
2017-07-28,144.81,145.04,143.84,144.29,3054834.0,0.0,1.0,124.81948896453848,125.01773827371493,123.98339405192469,124.37127313509602,3054834.0
2017-07-27,145.0,145.395,143.64,145.07,6430841.0,0.0,1.0,124.98326013298859,125.32373177266123,123.81100334829297,125.0435968792597,6430841.0
